id|platforms|genres|rating|title|url|star|content|author|n_ratings|cover
10734300|PS4 / PS3 / Xbox 360 / PSP / PS / SS/世嘉土星|游戏 / 横版过关 / 角色扮演 / 动作冒险 / 动作|9.5|恶魔城X：月下夜想曲 悪魔城ドラキュラX 月下の夜想曲|https://www.douban.com/game/10734300/|50|90后。PS4重置版补坑。第一次玩但玩出了情怀。阿鲁卡多的信念足够有说服力。缺点是难度不足。|Alucard|1106|https://img3.doubanio.com/lpic/s9126621.jpg
26366574|3DS|游戏 / 冒险 / 动作|9.5|塞尔达传说：梅祖拉的假面3D ゼルダの伝説 ムジュラの仮面 3D|https://www.douban.com/game/26366574/|50|客观的说就是整个系列中最为高山景行的作品。3DS这个版本完全可以自给自足不依靠任何攻略了，只需注意进入最终阶段之前你会缺少4个心之碎片和1个面具，只要听不到成员情报就代表已经完全探索可以安心了。只是如果我没理解错，成员情报是3DS的新要素会直接在日程上加灰色时间，伤害了旅馆，邮局，当铺三个地方相应角色的攻略体验。为了一次打通迷宫紧张得不行的时候就打开地图暂停时间喘气，然后一个房间一个房间的分析线路和推测小妖精。第一天早上进迷宫第三天早上出来，然后门口羽毛存档点存档使劲找剩下的一两个小妖精，只有最后一个迷宫用光了魔力从中间读档重新开始。最惊险的几次，一次还剩几个小时才刚刚从要啥给啥洞里爬出来，一次第三天晚上才进海盗营地在下水道里勇敢坚持快完蛋了才拿到实用道具。闲逛了一会最后游戏时间是72小时。|小破仑。建造中|242|https://img1.doubanio.com/lpic/s28048478.jpg
26927545|PS4|游戏 / 射击 / 冒险 / 动作|9.5|最后生还者 2 The Last of Us Part II|https://www.douban.com/game/26927545/|50|不是，1的dlc已经挑明了艾莉是蕾丝，现在播片给你看接吻你就受不了了？还一口一个政治正确，有毛病？|宇宙拖拉机|91|https://img3.doubanio.com/lpic/s29700633.jpg
10735092|PC / Mac|游戏 / 角色扮演 / 动作|9.5|暗黑破坏神2 Diablo 2|https://www.douban.com/game/10735092/|50|我总觉得，dioblo2重做一下画面就能拿来再骗钱了|老防汛员阿滋猫|4824|https://img3.doubanio.com/lpic/s10414066.jpg
26961929|PC / PS4 / Xbox One|游戏 / 角色扮演 / 冒险 / 动作|9.5|黑暗之魂3：环印城 Dark Soul III: The Ringed City|https://www.douban.com/game/26961929/|50|无限猴子定理：如果让无数只猴子在电脑前随机地滚键盘，那么在无限的时间跨度里，总有一只可以通关黑魂3火灭版。灰烬大人，您真的是只特别的猴子呢。|李闰土骨灰撒海|602|https://img1.doubanio.com/lpic/s29304537.jpg
27005567|PC / PS4 / Xbox One|游戏 / 角色扮演 / 冒险 / 动作|9.5|黑暗之魂3：薪火消逝 Dark Souls 3: The Fire Fades Edition|https://www.douban.com/game/27005567/|50|让葛雷瑞特去伊鲁席尔偷窃，因为我需要贤者烛台。本可以让帕奇或洋葱救他回来，但罪业之都里又有个啥需要的道具于是我先去推尤姆。后来发现小偷死在下水道粪坑里。捡走遗骨回祭侍场交给老婆婆想买烛台，当她说“怎么这骨头还是温润的”时，回忆起他听到女人死讯时的无助蜷缩，意识到自己已经是活尸了。|norve|336|https://img1.doubanio.com/lpic/s30026029.jpg
30429622|PC / PS4 / Xbox One|游戏 / 冒险 / 动作|9.5|生化危机2 1-Shot Resident Evil 2 1-Shot Demo|https://www.douban.com/game/30429622/|50|2019 AAVG|deus|52|https://img3.doubanio.com/lpic/s29975072.jpg
25795432|Wii U|游戏 / 动作|9.5|超级马里奥3D世界 スーパーマリオ 3Dワールド|https://www.douban.com/game/25795432/|50|全球媒体总评高达93分的神作，这个分数也是目前次世代3大平台上新作（不算复刻）中最高的。3DS《超级马里奥3D大陆》的全面升级版（除了没有3D显示），关卡设计新颖，场景色彩斑斓，难度循序渐进，最后皇冠关我死了大概200多次才通。除了boss战略显单调外，几乎没有缺点。|松山光|319|https://img3.doubanio.com/lpic/s29600826.jpg
21363025|Wii|游戏 / 动作|9.5|超级马里奥银河2 スーパーマリオギャラクシー 2|https://www.douban.com/game/21363025/|50|这是我玩过关卡设计最好最美丽的游戏。简直是艺术品。完全抑制不住射精的冲动。|松湯|259|https://img3.doubanio.com/lpic/s28397843.jpg
10735077|FC/NES/红白机|游戏 / 横版过关 / 动作|9.5|超级马里奥兄弟 スーパーマリオブラザーズ|https://www.douban.com/game/10735077/|50|蹬蹬蹬等蹬邓 等蹬凳等等蹬等蹬 等凳蹬邓等凳蹬 蹬。家喻户晓的金字招牌，几乎不玩游戏的也听过马里奥大叔的名号。任天堂游戏性的完全体现，可爱的形象，极佳的手感，巧妙的关卡设计，使人们刷新了游戏体验的认知，而这个系列也将逐渐壮大，一直发展下去。|Max·Planck|8287|https://img1.doubanio.com/lpic/s28394668.jpg
